family,train_fraction,seed,method,train_accuracy,iid_accuracy,ood_accuracy,ood_balanced_accuracy,ood_tpr,ood_tnr,ood_f1,ood_mcc,full_accuracy,full_balanced_accuracy,fit_seconds,gate_count,depth,expression
compositional,0.25,0,GateBeam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9095125999301672,11.0,4.0,((((x4 XOR x5) OR (x0 AND x1)) AND (x6 NAND x7)) OR (((x4 XOR x5) OR (x2 AND x3)) AND (x6 NAND x7)))
compositional,0.25,0,MLP,1.0,0.797752808988764,0.7777777777777778,0.7678571428571428,0.75,0.7857142857142857,0.6,0.472455591261534,0.84375,0.839719970523213,0.23834979999810457,,,
compositional,0.25,0,TruthMemorizer,1.0,0.5561797752808989,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.63671875,0.6059322033898304,0.0,,,
compositional,0.25,0,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.25,1,GateBeam,1.0,0.9550561797752809,1.0,1.0,1.0,1.0,1.0,1.0,0.96875,0.9710144927536232,0.9020769000053406,13.0,4.0,((((x4 XOR x5) AND (x6 NAND x7)) OR ((x0 AND ~x7) OR (x3 AND ~x6))) AND (((x0 AND x1) OR (x2 AND x3)) OR (x4 XOR x5)))
compositional,0.25,1,MLP,1.0,0.7471910112359551,0.6666666666666666,0.6071428571428572,0.5,0.7142857142857143,0.4,0.1889822365046136,0.80078125,0.8041635961680177,0.22035949979908764,,,
compositional,0.25,1,TruthMemorizer,1.0,0.5786516853932584,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.65234375,0.6228813559322034,0.0,,,
compositional,0.25,1,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.25,2,GateBeam,1.0,0.7078651685393258,0.8888888888888888,0.8392857142857143,0.75,0.9285714285714286,0.75,0.6785714285714286,0.7890625,0.7957504298698108,0.7971652999985963,11.0,4.0,((((x6 NAND x7) AND (x4 XOR x5)) OR (x2 AND (x0 OR ~x7))) AND ((x6 NAND x7) AND (x2 OR (x5 XOR ~x6))))
compositional,0.25,2,MLP,1.0,0.7752808988764045,0.6111111111111112,0.6607142857142857,0.75,0.5714285714285714,0.46153846153846156,0.2672612419124244,0.81640625,0.8168140506018178,0.21404649992473423,,,
compositional,0.25,2,TruthMemorizer,1.0,0.5730337078651685,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.6484375,0.6186440677966102,0.0,,,
compositional,0.25,2,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.25,3,GateBeam,0.9833333333333333,0.8820224719101124,1.0,1.0,1.0,1.0,1.0,1.0,0.9140625,0.9166052566936871,0.907027600100264,12.0,4.0,((((x6 NAND x7) AND (x1 OR x7)) OR ((x6 NAND x7) AND (x4 XOR x5))) AND ((x6 NAND x7) AND (x0 OR (x4 XOR x5))))
compositional,0.25,3,MLP,1.0,0.8202247191011236,0.6666666666666666,0.6964285714285714,0.75,0.6428571428571429,0.5,0.3286878675669582,0.8515625,0.846352247605011,0.22584809991531074,,,
compositional,0.25,3,TruthMemorizer,1.0,0.5337078651685393,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.62109375,0.5889830508474576,0.0,,,
compositional,0.25,3,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
