component_id,name,role,input_format,output_format,is_novel,replaceable_by,ablation_priority,notes
M01,Named predicate vector,concept-bottleneck proxy,8 binary or probability values,local truth input,no,perception encoder,high,Separates local Boolean computation from raw perception grounding
M02,GateBeam synthesizer,learn compact Boolean expression,labeled finite binary assignments,hard Boolean formula/expression,no,DLGN or SAT-based rule learner,high,Repository implementation/integration; recursive Expr counts formula references and is not a shared-DAG oracle
M14,Differentiable gate selector,jointly learn variable binding and Boolean operator,binary predicate vector and task label,soft finite hypothesis mixture and one hardened gate,yes,DLGN learned wiring or neural architecture search,high,Enumerates all two-input pairs and four operators; not unrestricted topology search
M15,MCR2 gradient-flow proxy,maximize finite-sample log-det rate reduction,feature-by-sample matrix and class memberships,layerwise normalized representation,no,official ReduNet or CRATE implementation,high,Exact analytic NumPy gradient with optional ISTA soft threshold
M16,Boolean universal coder,assign decodable lengths to binary representations and residual masks,binary sample matrix and optional side-information labels,prefix codelength and signed/routed saving,no,arithmetic codec or context-tree weighting,high,Repository implementation of known universal-code components; independent KT and joint finite-alphabet Dirichlet variants expose basis dependence
M17,Exact formula catalog,prove minimum formula-tree gate count under a fixed basis,complete truth table up to four inputs,minimum formula witness and full semantic catalog,no,SAT/QBF exact DAG synthesis,high,Repository implementation of formula DP; AND OR XOR NAND; constants are free sources; NOT costs NAND(x,x); not a DAG oracle
M18,Multi-language MDL router,select shortest decodable function or task explanation,truth table and candidate language family,language tag plus model and residual code,no,hierarchical Bayesian circuit prior,high,Repository integration of known MDL ideas; pays route overhead and retains raw-label escape path
M19,Basis-aware exact formula oracle,measure basis-relative minimum formula size and retained-witness code,complete three-input truth tables,AIG/XAG/MIG-style and MIXED formula witnesses plus diagnostics,no,SAT/QBF exact DAG synthesis,high,Repository implementation; exact formula only; hash-cons DAG and code are retained-witness upper bounds; primitive counts are not PPA
M20,External Hard-LGN provenance bridge,audit selected hardening and ABC artifacts from another project,three source CSV tables,normalized hashes compact summary and selected rows,no,direct rerun with archived environment,high,Audited external evidence rather than a symbolic_logic experiment; task-input equality is not SAT equivalence
M03,Bit packer,compile repeated predicates to byte lanes,batch of 8 binary columns,packed byte columns,no,hardware bit-vector implementation,medium,Reports kernel-only and packing-inclusive timing separately
M04,Indexed relation filter,generate sparse local relation candidates,color shape position arrays,valid relation count,no,spatial hash or adjacency index,high,Separates indexing benefit from Boolean gate cost
M05,BFS solver,perform global recursive reachability,layered Boolean adjacency and source,reached terminal set,no,SAT Datalog or planner,high,Used only after local edge validity is determined
M06,SoftGateCircuit,learn differentiable gate mixtures then harden,8 binary predicate values,soft probability or hardened Boolean bit,no,full LGN implementation,high,Fixed-wiring controlled proxy; evaluates operator hardening without claiming architecture-search equivalence
M07,Learned gate BFS adapter,connect learned local edge predicate to symbolic BFS,layered edge predicate features,reached terminal set,no,probabilistic graph solver,high,Measures input-output compatibility for soft and hardened learned gates
M08,Looped state-transition engine,iterate a frontier/state register to a fixed point,cyclic Boolean adjacency and source,reached state set,no,hardware FSM plus sparse memory,high,Separates variable-length control from fixed gate unrolling
M09,Probability semiring control,compare exact WMC soft semiring and hard threshold,uncertain Bernoulli bits,probability or class,no,knowledge compiler or approximate sampler,high,Shows independence/decomposability and hardening limits
M10,Planning frontier proxy,expand a monotone action frontier with fixed or looped control,Boolean state bits and blocked action,goal reachability,no,full planner or SAT/SMT engine,high,Tests variable-depth search control without claiming a complete planning system
M11,Patch MLP encoder,ground rendered RGB cell patches into named concepts,4x4x3 pixel patch,free/wall/source/target probabilities,no,CNN or vision transformer,high,Component-supervised neural perception with temperature calibration
M12,Learned edge gate,combine source and target passability probabilities,paired calibrated predicate probabilities,soft edge probability and hardened Boolean edge,no,learned-wiring LGN,high,Operator mixture learns AND while candidate topology remains fixed four-neighbor adjacency
M13,Hybrid reachability adapter,route high-confidence samples to hard BFS and low-confidence samples to soft max-product reachability,edge probabilities and grounding confidence,task probability and class,no,probabilistic graph solver,high,Validation-tuned fallback policy exposes uncertainty rather than hiding it
M21,Synchronous Boolean CA engine,reuse one local transition over a finite grid and horizon,binary grid plus boundary and update policy,trajectory and transition counts,yes,generic CA package,high,Supports 1D and 2D synchronous updates with explicit periodic or fixed boundary semantics
M22,Official DiffLogic-CA hard-circuit adapter,parse and execute frozen Google DigitalJS artifacts,official JSON circuit plus binary cell state,hard recurrent state and output-reachability-audited gate counts,no,official browser simulator,high,Semantic replay only; fixed learned operators and wiring are not retrained
M23,CA task and trajectory coder,separate program state control and residual description,local rule initial state boundary horizon decoder and observed trajectory,prefix-accounted component lengths,yes,general MDL sequence model,high,Reports both model bits per update and residual bits so repetition alone cannot manufacture compression
M24,Boolean wavefront pathfinder,propagate reachability through local cell state,obstacle source and target channels,reached-state trajectory and path existence,no,BFS or learned pathfinding NCA,medium,Exact monotone local recurrence trades compact update logic for grid state and diameter-dependent iterations
